,,"Backporting: fix will be backported to a previous release - don't show in final release notes.
2017.3 Feature/Regression: fix pertains to a feature in this release - don't show in final release notes.
Internal: fix pertains to something that we don’t necessarily want to advertise - don't show in any release notes.
Existing issue: everything else - show in alpha/beta and final release notes. (confused? ask on #release-management)",,"Note: Please use Markdown format inside cell. Also, expect the whole cell to be prefixed with a ""- "" to turn into a bullet item, so prefix spaces for internal bullets as necessary.",,Doc Team Usage,,
"For viewing older versions, please use a custom view to show vs. current shared filtering",,,,,,,,
Version,FogBugz ID,Type,Area,Description,Developer,Proof Status,IssueTracker,Release Highlight
2017.3.0a1,912482,Existing Issue (show in final notes),Android,Fixed Android not supporting asset bundles larger than 2GB,Aleksandr Kirillov,,https://issuetracker.unity3d.com/issues/loading-assetbundles-from-file-fails-when-bundle-is-located-after-2gb-point-in-a-file,
2017.3.0a1,900228,Internal,Editor,Removed tooltip from VisualElement.,Mikaël Brochu,,,
2017.3.0a1,920944,Backporting (show in alpha/beta notes only),Editor,Enabled state now propagate from UIElements to controls in an IMGUIContainer,Mikaël Brochu,,,
2017.3.0a1,912001,Existing Issue (show in final notes),Editor,Fixed TextField changing height when entering new text and toggles not fully displaying when no text is entered,Mikaël Brochu,,,
2017.3.0a1,922329,Internal,Editor,Fixed float comparison that could cause problem.,Mikaël Brochu,,,
2017.3.0a1,,Internal,Editor,Fixed crash that would happen when focusing a TextField with an null text font.,Mikaël Brochu,,,
2017.3.0a1,922553,Backporting (show in alpha/beta notes only),Android,Fix development build crash on Android 4.2.2 with VideoCore GPU,Ricardas Jonaitis,,https://issuetracker.unity3d.com/issues/android-an-application-crashes-if-development-build-is-enabled-only-on-devices-which-have-4-dot-2-2-os,
2017.3.0a1,912719,Backporting (show in alpha/beta notes only),Scripting,Fix scripting exception being logged as Info instead of Error,Ricardas Jonaitis,,https://issuetracker.unity3d.com/issues/android-debug-dot-logexception-is-filtered-as-i-information-instead-of-e-error-in-logcat-logs,
2017.3.0a1,,Internal,Editor,Migration of binding file Tools.bindings,Frédéric Vauchelles,,,
2017.3.0a1,,Internal,PerformanceTests,Improved stability of native performance tests,Alexey Zakharov,,,
2017.3.0a1,,2017.3 Feature/Regression,Graphics,Fixed moving multiple objects makes only one of them to move according to handles,David Lovegrove,,,
2017.3.0a1,926891,2017.3 Feature/Regression,Asset Import,Fixed the texture mapping after extracting embedded textures multiple times,Bogdan Corciova,,,
2017.3.0a1,926896,2017.3 Feature/Regression,Asset Import,Set the Material Location setting to External for old projects,Bogdan Corciova,,,
2017.3.0a1,913757,Existing Issue (show in final notes),Animation,Fixed editor freezing when duplicating badly formed state machines,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/duplicating-animator-substate-machine-freezes-editor,
2017.3.0a1,916487,Existing Issue (show in final notes),Animation,Fixed humanoid body position not properly animated when used in additive layer,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/additive-layer-in-animator-window-on-humanoid-rig-type-cause-avatar-hips-to-be-placed-at-around-00-0,
2017.3.0a1,916970,Existing Issue (show in final notes),Animation,Fixed a crash when closing Animator Window,David Geoffroy,,https://issuetracker.unity3d.com/issues/crash-in-monoscript-belongstoeditorcompatibleassembly-when-closing-unity,
2017.3.0a1,921997,Existing Issue (show in final notes),Animation,Fixed crash when changing number of input in AnimationLayerMixerPlayable at runtime.,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/animationlayermixerplayable-crashes-while-adding-several-inputs-to-the-scene,
2017.3.0a1,919500,Existing Issue (show in final notes),Animation,Fixed unresponsive animation window when zoomed out,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/zooming-out-of-the-animation-window-with-the-curves-button-selected-freezes-the-editor,
2017.3.0a1,921121,Existing Issue (show in final notes),Animation,Fixed an issue where Animation Events in empty clips were not getting fired,David Geoffroy,,,
2017.3.0a1,877827,Existing Issue (show in final notes),Animation,Fixed state machine range selection not adjusting to bigger graphs,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/animator-transitions-are-not-clickable-when-they-are-deeper-in-the-animation-controller-tree,
